96624,-0.006,-0.059,1.003,-0.427,-0.549,-0.183
96648,-0.007,-0.062,1.003,-0.244,-0.549,-0.183
96672,-0.003,-0.062,1.000,-0.122,-0.549,-0.122
96696,-0.005,-0.059,0.999,0.061,-0.610,-0.061
96720,-0.004,-0.056,1.001,0.122,-0.488,-0.122
96744,-0.006,-0.059,1.001,-0.183,-0.549,-0.122
96768,-0.005,-0.062,1.000,-0.061,-0.549,-0.061
96792,-0.005,-0.061,1.004,-0.122,-0.549,0.000
96816,-0.005,-0.060,1.001,-0.244,-0.732,-0.244
96840,-0.006,-0.058,1.001,-0.061,-0.549,-0.244
96864,-0.004,-0.059,1.003,-0.061,-0.549,0.000
96888,-0.002,-0.059,1.000,-0.122,-0.854,-0.061
96912,-0.004,-0.061,1.001,-0.122,-0.610,-0.061
96936,-0.007,-0.061,1.000,-0.122,-0.549,-0.305
96960,-0.004,-0.060,1.001,-0.122,-0.610,-0.061
96984,-0.005,-0.060,0.998,-0.061,-0.610,-0.122
97008,-0.004,-0.060,1.000,-0.122,-0.549,-0.122
97032,-0.006,-0.061,0.999,-0.061,-0.610,-0.122
97056,-0.006,-0.060,1.001,-0.183,-0.488,-0.183
97080,-0.007,-0.058,1.003,-0.061,-0.488,-0.061
97104,-0.003,-0.062,1.001,-0.366,-0.610,-0.122
97128,-0.005,-0.061,1.000,0.000,-0.549,-0.061
97152,-0.004,-0.060,1.001,-0.122,-0.610,0.000
97176,-0.008,-0.058,1.001,-0.061,-0.427,-0.122
97200,-0.005,-0.060,1.001,0.000,-0.610,-0.061
97224,-0.005,-0.061,1.002,-0.244,-0.549,0.000
97248,-0.006,-0.061,1.003,0.000,-0.549,-0.122
97272,-0.005,-0.060,1.003,0.244,-0.671,-0.122
97296,-0.005,-0.060,1.002,-0.244,-0.610,-0.244
97320,-0.003,-0.060,1.002,-0.122,-0.610,0.000
97344,-0.003,-0.060,1.000,-0.183,-0.549,0.000
97368,-0.005,-0.061,1.001,0.000,-0.610,0.000
97392,-0.006,-0.061,1.002,0.061,-0.549,-0.122
97416,-0.005,-0.059,0.999,-0.122,-0.610,-0.122
97440,-0.006,-0.058,1.002,-0.061,-0.549,-0.244
