theta_b,theta_b_dot,theta_w_dot,torque,torque_raw,delta_t
-0.008839,-0.019175,95.893860,0.688819,0.688819,0.003899
-0.009473,-0.013848,93.586487,0.663378,0.663378,0.003897
-0.010054,-0.006392,91.858757,0.612328,0.612328,0.003901
-0.010914,0.003196,94.203293,0.552688,0.552688,0.003899
-0.011740,0.003196,96.732208,0.599162,0.599162,0.003901
-0.012489,0.014914,94.909729,0.506997,0.506997,0.003895
-0.013226,0.025566,92.783203,0.428123,0.428123,0.004233
-0.013913,0.033023,95.088478,0.383134,0.383134,0.003899
-0.014127,0.040480,98.630539,0.309076,0.309076,0.003901
-0.014332,0.040480,98.021950,0.319396,0.319396,0.003897
-0.014496,0.049002,95.624535,0.231543,0.231543,0.003900
-0.014292,0.054328,96.829147,0.159839,0.159839,0.003900
-0.014089,0.056459,99.776001,0.123274,0.123274,0.003894
-0.013894,0.056459,99.001785,0.110840,0.110840,0.003898
-0.013412,0.055394,96.594200,0.095666,0.095666,0.003901
-0.012933,0.059655,98.554985,0.020392,0.020392,0.003897
-0.012804,0.062851,103.139198,-0.024446,-0.024446,0.003899
-0.012659,0.068177,102.853943,-0.095589,-0.095589,0.003897
-0.012521,0.068177,99.047363,-0.103425,-0.103425,0.003896
-0.011940,0.067112,98.815346,-0.123017,-0.123017,0.003900
-0.011407,0.060720,101.063606,-0.080380,-0.080380,0.003897
-0.009836,0.047937,99.661194,-0.025235,-0.025235,0.003901
-0.008327,0.047937,95.785294,-0.111317,-0.111317,0.003897
-0.006927,0.035154,95.562805,-0.043827,-0.043827,0.003897
-0.005589,0.023436,98.430496,0.013567,0.013567,0.003897
-0.004360,0.008522,98.504547,0.112560,0.112560,0.003897
-0.003181,0.008522,95.533821,0.044784,0.044784,0.003899
-0.002429,-0.004261,95.084274,0.149150,0.149150,0.003899
-0.001711,-0.005326,98.280548,0.120288,0.120288,0.003895
-0.002365,0.000000,98.831367,0.095554,0.095554,0.004202
-0.002980,0.003196,96.161438,0.094107,0.094107,0.003894
-0.003571,0.003196,96.560577,0.129150,0.129150,0.003903
-0.004232,0.007457,101.187424,0.118175,0.118175,0.003897
-0.004827,0.018109,103.077995,0.028484,0.028484,0.003899
-0.005723,0.028762,100.056404,-0.042794,-0.042794,0.003896
-0.006582,0.028762,98.831383,0.007829,0.007829,0.003901
-0.007376,0.037284,101.491066,-0.043646,-0.043646,0.003896
-0.007232,0.037284,101.902443,-0.053015,-0.053015,0.003901
-0.007110,0.033023,98.183838,-0.011425,-0.011425,0.003897
-0.006992,0.033023,96.653748,-0.016643,-0.016643,0.003897
-0.005562,0.025566,99.520782,-0.012785,-0.012785,0.003899
-0.004238,0.012783,100.886887,0.056285,0.056285,0.003895
-0.003111,0.001065,98.129555,0.125182,0.125182,0.003900
-0.002066,-0.008522,96.801651,0.176038,0.176038,0.003921
-0.001063,-0.008522,99.586784,0.118942,0.118942,0.003904
-0.001028,-0.011718,101.072403,0.152400,0.152400,0.003898
-0.000975,-0.006392,98.516075,0.087761,0.087761,0.003896
-0.001301,-0.008522,98.021965,0.131892,0.131892,0.003899
-0.001613,-0.008522,102.434074,0.150039,0.150039,0.003900
-0.001909,-0.007457,105.133209,0.153031,0.153031,0.003897
-0.002420,-0.002131,102.419533,0.120303,0.120303,0.003897
-0.002883,0.005326,101.130882,0.062626,0.062626,0.003897
-0.003425,0.011718,104.471115,0.021153,0.021153,0.004196
-0.003950,0.011718,105.340561,0.049899,0.049899,0.003902
-0.004437,0.015979,102.081337,0.028760,0.028760,0.003896
-0.004483,0.019175,101.878006,-0.003825,-0.003825,0.003901
-0.004520,0.021305,105.736694,-0.026027,-0.026027,0.003896
-0.004555,0.021305,106.255478,-0.025588,-0.025588,0.003897
-0.004148,0.017044,102.769531,-0.000418,-0.000418,0.003897
-0.003805,0.004261,102.453499,0.127639,0.127639,0.003900
-0.002559,-0.013848,105.177322,0.263561,0.263561,0.003897
-0.001364,-0.013848,104.342690,0.193775,0.193775,0.003897
-0.000256,-0.024501,101.739540,0.252436,0.252436,0.003896
-0.000512,-0.021305,104.106491,0.231606,0.231606,0.003901
-0.000757,-0.021305,108.856010,0.244732,0.244732,0.003896
-0.001668,-0.019175,107.945763,0.270690,0.270690,0.003896
-0.002542,-0.019175,104.973694,0.321271,0.321271,0.003899
-0.003349,-0.010653,107.082405,0.271293,0.271293,0.003900
-0.004084,-0.001065,109.769905,0.202871,0.202871,0.003896
-0.004761,0.006392,107.338493,0.155313,0.155313,0.003898
-0.005411,0.006392,105.662155,0.193663,0.193663,0.003902
-0.006053,0.013848,109.467064,0.145850,0.145850,0.003897
-0.006653,0.018109,111.608215,0.129986,0.129986,0.003898
-0.006310,0.020240,108.843414,0.084978,0.084978,0.003898
-0.005980,0.020240,108.966743,0.067161,0.067161,0.003899
-0.005653,0.021305,112.256332,0.036144,0.036144,0.004196
-0.005159,0.021305,110.943138,0.006432,0.006432,0.003900
-0.004685,0.021305,108.599922,-0.020260,-0.020260,0.003902
-0.004320,0.019175,112.162148,-0.015882,-0.015882,0.003897
-0.003969,0.019175,115.174965,-0.037478,-0.037478,0.003899
-0.003645,0.015979,111.537422,-0.020767,-0.020767,0.003895
-0.002821,0.006392,109.508301,0.043161,0.043161,0.003900
-0.002066,-0.003196,112.399101,0.110385,0.110385,0.003897
-0.001341,-0.003196,112.327156,0.067569,0.067569,0.003899
-0.001018,-0.009587,108.869492,0.122199,0.122199,0.003900
-0.000700,-0.007457,110.472061,0.080939,0.080939,0.003900
-0.001230,-0.005326,114.561966,0.086330,0.086330,0.003897
-0.001750,-0.008522,113.178856,0.151149,0.151149,0.003899
-0.002250,-0.008522,111.150459,0.180428,0.180428,0.003897
-0.002283,-0.008522,114.186554,0.183170,0.183170,0.003900
-0.002299,-0.004261,115.164017,0.134061,0.134061,0.003896
-0.002318,-0.003196,112.018913,0.122549,0.122549,0.003899
-0.002336,-0.003196,113.945374,0.124879,0.124879,0.003902
-0.002350,-0.002131,119.119469,0.112663,0.112663,0.003895
-0.003009,0.001065,117.559555,0.111819,0.111819,0.003898
-0.003626,0.005326,115.009644,0.099108,0.099108,0.003901
-0.004218,0.005326,118.342590,0.134169,0.134169,0.003898
-0.004872,0.017044,118.887527,0.036248,0.036248,0.003897
-0.005469,0.023436,115.367027,-0.002857,-0.002857,0.004228
-0.005768,0.028762,117.506927,-0.045208,-0.045208,0.003903
-0.006044,0.031958,120.681770,-0.066853,-0.066853,0.003897
-0.006308,0.031958,117.383110,-0.052970,-0.052970,0.003898
-0.005262,0.024501,115.538139,-0.026369,-0.026369,0.003897
-0.004329,0.005326,118.075836,0.140311,0.140311,0.003899
-0.002557,-0.009587,116.420525,0.208258,0.208258,0.003898
-0.000857,-0.009587,113.706589,0.111258,0.111258,0.003897
0.000744,-0.018109,117.872475,0.117998,0.117998,0.003901
0.000360,-0.013848,121.303749,0.089519,0.089519,0.003899
0.000013,-0.008522,117.892921,0.047120,0.047120,0.003899
-0.000321,-0.008522,117.721344,0.067702,0.067702,0.003899
-0.001761,-0.001065,121.393166,0.065107,0.065107,0.003898
-0.003091,0.012783,119.439529,-0.018521,-0.018521,0.003899
-0.004046,0.031958,117.054504,-0.182426,-0.182426,0.003899
-0.004926,0.041545,120.690842,-0.240648,-0.240648,0.003899
-0.005771,0.041545,121.289909,-0.193600,-0.193600,0.003897
-0.004980,0.035154,117.110733,-0.166086,-0.166086,0.003900
-0.004277,0.020240,117.616333,-0.034022,-0.034022,0.003897
-0.002462,0.009587,119.178741,-0.016567,-0.016567,0.003901
-0.000719,0.009587,115.401611,-0.117327,-0.117327,0.003900
0.000919,0.000000,114.559242,-0.100072,-0.100072,0.003897
0.001714,-0.012783,119.319771,0.000936,0.000936,0.003898
0.002431,-0.023436,118.191460,0.079724,0.079724,0.004169
0.002277,-0.028762,114.334229,0.150023,0.150023,0.003894
0.002129,-0.028762,116.589691,0.160118,0.160118,0.003900
0.002019,-0.020240,118.668694,0.067969,0.067969,0.003899
0.000724,-0.008522,115.221420,0.007358,0.007358,0.003899
-0.000480,0.002131,115.296501,-0.044059,-0.044059,0.003898
-0.001635,0.002131,119.438744,0.022270,0.022270,0.003895
-0.002488,0.006392,118.075401,0.020782,0.020782,0.003900
-0.003315,0.004261,115.111488,0.093223,0.093223,0.003898
-0.002594,0.004261,117.815811,0.053038,0.053038,0.003901
-0.001902,0.004261,118.757294,0.012186,0.012186,0.003897
-0.001230,0.006392,115.400429,-0.051203,-0.051203,0.003897
-0.001681,0.010653,117.282379,-0.072680,-0.072680,0.003900
-0.002103,0.013848,121.502792,-0.085833,-0.085833,0.003899
-0.002240,0.006392,118.418587,0.005686,0.005686,0.003899
-0.002372,0.006392,115.423225,0.014517,0.014517,0.003896
-0.002514,0.002131,118.345650,0.072706,0.072706,0.003899
-0.002198,0.008522,118.246811,-0.019835,-0.019835,0.003900
-0.001870,0.014914,114.437759,-0.111784,-0.111784,0.003898
-0.001556,0.014914,116.039154,-0.128286,-0.128286,0.003898
-0.002132,0.017044,118.913940,-0.120249,-0.120249,0.003897
-0.002704,0.011718,115.663521,-0.027547,-0.027547,0.003900
-0.001406,-0.002131,113.626488,0.057772,0.057772,0.003896
-0.000196,-0.010653,116.387810,0.086611,0.086611,0.004203
0.000970,-0.010653,115.273216,0.018520,0.018520,0.003895
0.001397,-0.013848,112.590256,0.031065,0.031065,0.003896
0.001814,-0.011718,116.355858,-0.016199,-0.016199,0.003900
0.000874,-0.009587,119.728600,0.011856,0.011856,0.003902
-0.000028,-0.009587,116.122917,0.062299,0.062299,0.003894
-0.000882,-0.006392,115.047852,0.076258,0.076258,0.003897
-0.001578,0.003196,118.673561,0.006905,0.006905,0.003900
-0.002198,0.015979,117.416260,-0.105308,-0.105308,0.003899
-0.002793,0.015979,114.038315,-0.070598,-0.070598,0.003898
-0.003401,0.030893,116.628365,-0.205030,-0.205030,0.003898
-0.003985,0.030893,118.353050,-0.172565,-0.172565,0.003896
-0.002997,0.017044,114.483528,-0.071512,-0.071512,0.003899
-0.002083,0.007457,113.384850,-0.012615,-0.012615,0.003900
-0.001207,0.007457,115.818329,-0.062513,-0.062513,0.003896
0.000212,0.000000,113.550087,-0.059655,-0.059655,0.003899
0.001538,-0.009587,110.508972,-0.025157,-0.025157,0.003897
0.002034,-0.022371,113.762566,0.093972,0.093972,0.003899
0.002510,-0.022371,116.400223,0.065313,0.065313,0.003898
0.002930,-0.031958,112.986229,0.149815,0.149815,0.003897
0.002257,-0.028762,112.195366,0.153325,0.153325,0.003900
0.001670,-0.012783,115.878876,0.004430,0.004430,0.003899
0.001107,-0.012783,114.704254,0.035283,0.035283,0.003898
-0.000267,0.003196,111.611877,-0.068285,-0.068285,0.004235
-0.001566,0.008522,114.474609,-0.053353,-0.053353,0.003897
-0.001860,0.015979,116.614990,-0.122985,-0.122985,0.003898
-0.002143,0.015979,112.940285,-0.107628,-0.107628,0.003896
-0.002414,0.015979,111.458099,-0.090540,-0.090540,0.003900
-0.001106,0.003196,113.842865,-0.018750,-0.018750,0.003896
0.000102,-0.009587,112.055557,0.057212,0.057212,0.003901
0.001000,-0.021305,108.848206,0.140528,0.140528,0.003897
0.001862,-0.021305,112.100029,0.092342,0.092342,0.003900
0.002669,-0.026632,116.198120,0.105604,0.105604,0.003893
0.001591,-0.021305,113.591515,0.104908,0.104908,0.003898
0.000599,-0.009587,112.033051,0.028792,0.028792,0.003898
